PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
78-113;FUP Ko³obrzeg 1;Dygowo;G³ówna;6;Dygowo;ko³obrzeski;zachodniopomorskie
78-131;FUP Ko³obrzeg 1;DŸwirzyno;Wyzwolenia;16;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
78-120;FUP Ko³obrzeg 1;Goœcino;Lipowa;2;Goœcino;ko³obrzeski;zachodniopomorskie
78-100;FUP Ko³obrzeg 1;Grzybowo;Ko³obrzeska;5;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
78-101;FUP Ko³obrzeg 1;Ko³obrzeg;Arciszewskiego Krzysztofa;4;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
78-104;FUP Ko³obrzeg 1;Ko³obrzeg;Cicha;6 B;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
78-103;FUP Ko³obrzeg 1;Ko³obrzeg;Œciegiennego Piotra (Ksiêdza Piotra Œciegiennego);4;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
78-100;FUP Ko³obrzeg 1;Ko³obrzeg;Tarnopolska;1;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
78-106;FUP Ko³obrzeg 1;skrytki/przegródki;;;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
78-123;FUP Ko³obrzeg 1;Siemyœl;Szkolna;6;Siemyœl;ko³obrzeski;zachodniopomorskie
78-102;UP Ko³obrzeg 4;Ko³obrzeg;Urocza;3;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
78-105;UP Ko³obrzeg 7;Ko³obrzeg;Bema Józefa (Genera³a Józefa Bema);5/3;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
21-311;UP Komarówka Podlaska;Komarówka Podlaska;Krótka;2;Komarówka Podlaska;radzyñski;lubelskie
22-435;UP Komarów-Osada;Komarów-Osada;3 Maja;3;Komarów-Osada;zamojski;lubelskie
38-420;AP Kombornia;Kombornia;;bn;Korczyna;kroœnieñski;podkarpackie
59-102;AP Komorniki;Komorniki;;28;Polkowice;polkowicki;dolnoœl¹skie
62-052;UP Komorniki 1;Komorniki;M³yñska;10;Komorniki;poznañski;wielkopolskie
62-056;PP Komorniki P204;Komorniki;Polna;120;Komorniki;poznañski;wielkopolskie
82-301;AP Komorowo ¯u³awskie;Komorowo ¯u³awskie;;7 B;Elbl¹g;elbl¹ski;warmiñsko-mazurskie
46-070;UP Komprachcice;Komprachcice;Szkolna;15;Komprachcice;opolski;opolskie
63-912;AP Konary;Konary;;141/A;Miejska Górka;rawicki;wielkopolskie
62-070;AP Konarzewo;Konarzewo;Stêszewska;1;Dopiewo;poznañski;wielkopolskie
18-404;AP Konarzyce;Konarzyce;£om¿yñska;21;£om¿a;³om¿yñski;podlaskie
89-607;UP Konarzyny k. Chojnic;Konarzyny;Stra¿acka;2;Konarzyny;chojnicki;pomorskie
83-430;AP Konarzyny k. Zblewa;Konarzyny;;30/A;Stara Kiszewa;koœcierski;pomorskie
87-702;UP Koneck;Koneck;;41;Koneck;aleksandrowski;kujawsko-pomorskie
87-705;FUP Koneck;Siniarzewo;; ;Zakrzewo;aleksandrowski;kujawsko-pomorskie
43-474;AP Koniaków;Koniaków;;440;Istebna;cieszyñski;œl¹skie
42-230;UP Koniecpol;Koniecpol;Koœciuszki Tadeusza;14;Koniecpol;czêstochowski;œl¹skie
42-230;AP Koniecpol;Koniecpol;Robotnicza;18/4;Koniecpol;czêstochowski;œl¹skie
28-200;AP Koniem³oty;Koniem³oty;Kotlarza Romana Pl. (Ksiêdza Romana Kotlarza);55;Staszów;staszowski;œwiêtokrzyskie
62-500;AP Konin;Konin;3 Maja;64;Konin;Konin;wielkopolskie
62-505;AP Konin;Konin;Gos³awicka;1;Konin;Konin;wielkopolskie
62-500;AP Konin;Konin;Kasztanowa;39;Konin;Konin;wielkopolskie
62-510;AP Konin;Konin;Paderewskiego Ignacego;8;Konin;Konin;wielkopolskie
62-500;AP Konin;Konin;Stodolniana;103;Konin;Konin;wielkopolskie
62-507;AP Konin;Konin;Szeligowskiego Tadeusza;1;Konin;Konin;wielkopolskie
62-509;AP Konin;Konin;Zakole;7A;Konin;Konin;wielkopolskie
62-500;UP Konin 1;Konin;Urbanowskiej Zofii;4C;Konin;Konin;wielkopolskie
62-504;FUP Konin 1;Konin;Kwiatkowskiego Eugeniusza;3;Konin;Konin;wielkopolskie
62-571;FUP Konin 1;Stare Miasto;G³ówna;9;Stare Miasto;koniñski;wielkopolskie
62-510;UP Konin 2;Konin;Kolejowa;5A;Konin;Konin;wielkopolskie
62-501;FUP Konin 2;Konin;Broniewskiego W³adys³awa;4;Konin;Konin;wielkopolskie
62-506;FUP Konin 2;Konin;Cukrownicza Al.;13;Konin;Konin;wielkopolskie
62-502;FUP Konin 2;Konin;Margaretkowa;1;Konin;Konin;wielkopolskie
62-508;FUP Konin 2;Konin;Wyszyñskiego Stefana (Kardyna³a Stefana Wyszyñskiego);26;Konin;Konin;wielkopolskie
62-510;FUP Konin 2;Konin;Zak³adowa;7A;Konin;Konin;wielkopolskie
62-503;UP Konin 5;Konin;Wyszyñskiego Stefana (Kardyna³a Stefana Wyszyñskiego);32;Konin;Konin;wielkopolskie
62-507;UP Konin 9;Konin;Szymanowskiego Karola;1;Konin;Konin;wielkopolskie
32-104;UP Koniusza;Koniusza;;5 A;Koniusza;proszowicki;ma³opolskie
42-274;UP Konopiska;Konopiska;Lipowa;3;Konopiska;czêstochowski;œl¹skie
06-560;UP Konopki;Konopki;Kwiatowa;14;Stupsk;m³awski;mazowieckie
06-561;FUP Konopki;Stupsk;Sienkiewicza Henryka;10;Stupsk;m³awski;mazowieckie
67-416;AP Konotop;Konotop;Powstañców Wielkopolskich Pl.;14;Kolsko;nowosolski;lubuskie
16-070;AP Konowa³y;Konowa³y;;23 A;Choroszcz;bia³ostocki;podlaskie
48-340;AP Konradów;Konradów;;39;G³ucho³azy;nyski;opolskie
05-510;UP Konstancin-Jeziorna 1;Konstancin-Jeziorna (Skolimów);Moniuszki Stanis³awa;22 B;Konstancin-Jeziorna;piaseczyñski;mazowieckie
05-510;FUP Konstancin-Jeziorna 1;Konstancin-Jeziorna;Wierzejewskiego Antoniego;12;Konstancin-Jeziorna;piaseczyñski;mazowieckie
05-520;UP Konstancin-Jeziorna 4;Konstancin-Jeziorna;Wilanowska;1;Konstancin-Jeziorna;piaseczyñski;mazowieckie
05-520;FUP Konstancin-Jeziorna 4;Konstancin-Jeziorna;Warszawska;64;Konstancin-Jeziorna;piaseczyñski;mazowieckie
21-543;UP Konstantynów;Konstantynów;Wyszyñskiego Stefana (Kardyna³a Stefana Wyszyñskiego);1;Konstantynów;bialski;lubelskie
95-050;UP Konstantynów £ódzki;Konstantynów £ódzki;£ódzka;6/8;Konstantynów £ódzki;pabianicki;³ódzkie
95-083;FUP Konstantynów £ódzki;Lutomiersk;Jana Paw³a II Pl.;13;Lutomiersk;pabianicki;³ódzkie
95-050;AP Konstantynów £ódzki;Konstantynów £ódzki;Jana Paw³a II;11/13;Konstantynów £ódzki;pabianicki;³ódzkie
82-200;AP Koñczewice;Koñczewice;;14;Mi³oradz;malborski;pomorskie
43-410;AP Koñczyce Ma³e;Koñczyce Ma³e;Staropolska;2;Zebrzydowice;cieszyñski;œl¹skie
43-419;AP Koñczyce Wielkie;Koñczyce Wielkie;Prosta;1;Ha¿lach;cieszyñski;œl¹skie
26-200;AP Koñskie;Koñskie;Warszawska;6;Koñskie;konecki;œwiêtokrzyskie
26-200;UP Koñskie 1;Koñskie;Dobrzañskiego Hubala Henryka (Majora Henryka Dobrzañskiego Hubala);13;Koñskie;konecki;œwiêtokrzyskie
26-202;FUP Koñskie 1;Koñskie;1 Maja;35/37/2a;Koñskie;konecki;œwiêtokrzyskie
24-130;UP Koñskowola;Koñskowola;Po¿owska;3;Koñskowola;pu³awski;lubelskie
64-225;AP Kopanica;Kopanica;Poniatowskiego Józefa (Ksiêcia Józefa Poniatowskiego);45;Siedlec;wolsztyñski;wielkopolskie
58-560;AP Kopaniec;Kopaniec;;46;Stara Kamienica;jeleniogórski;dolnoœl¹skie
42-674;AP Kopienice;Kopienica;Ogrodowa;47;Zbros³awice;tarnogórski;œl¹skie
37-420;AP Kopki;Kopki;Wygoda;6;Rudnik nad Sanem;ni¿añski;podkarpackie
62-411;AP Kopojno;Kopojno;;32;Zagórów;s³upecki;wielkopolskie
27-660;UP Koprzywnica;Koprzywnica;11 Listopada;88;Koprzywnica;sandomierski;œwiêtokrzyskie
38-459;AP Kopytowa;Kopytowa;;47;Chorkówka;kroœnieñski;podkarpackie
08-108;UP Korczew n. Bugiem;Korczew;Szkolna;3;Korczew;siedlecki;mazowieckie
38-420;UP Korczyna;Korczyna;Rynek;17;Korczyna;kroœnieñski;podkarpackie
48-317;UP Korfantów;Korfantów;Wyzwolenia;1;Korfantów;nyski;opolskie
86-230;AP Kornatowo;Kornatowo;;26;Lisewo;che³miñski;kujawsko-pomorskie
83-400;AP Korne;Korne;;1;Koœcierzyna;koœcierski;pomorskie
08-205;UP Kornica;Stara Kornica;;168;Stara Kornica;³osicki;mazowieckie
44-285;UP Kornowac;Kornowac;Starowiejska;11;Kornowac;raciborski;œl¹skie
86-010;UP Koronowo 1;Koronowo;Dworcowa;1;Koronowo;bydgoski;kujawsko-pomorskie
86-010;FUP Koronowo 1;Koronowo;Pomianowskiego Karola;5a;Koronowo;bydgoski;kujawsko-pomorskie
86-011;FUP Koronowo 1;Wtelno;Bydgoska;25;Koronowo;bydgoski;kujawsko-pomorskie
11-430;UP Korsze;Korsze;Orzeszkowej Elizy;7;Korsze;kêtrzyñski;warmiñsko-mazurskie
23-400;AP Korytków Du¿y;Korytków Du¿y;;109;Bi³goraj;bi³gorajski;lubelskie
08-455;AP Korytnica k. Garwolina;Korytnica;;1;Trojanów;garwoliñski;mazowieckie
28-305;AP Korytnica k. Jêdrzejowa;Korytnica;;56;Sobków;jêdrzejowski;œwiêtokrzyskie
07-120;UP Korytnica k. Wêgrowa;Korytnica;Wyzwolenia;3;Korytnica;wêgrowski;mazowieckie
73-200;AP Korytowo;Korytowo;Œrodkowa;3;Choszczno;choszczeñski;zachodniopomorskie
86-100;AP Korytowo;Korytowo;;16;Bukowiec;œwiecki;kujawsko-pomorskie
62-831;UP Korzeniew;Korzeniew;;112;Mycielin;kaliski;wielkopolskie
82-500;AP Korzeniewo;Korzeniewo;Kwidzyñska;14 I;Kwidzyn;kwidzyñski;pomorskie
18-500;AP Korzeniste;Korzeniste;;43;Ma³y P³ock;kolneñski;podlaskie
33-322;UP Korzenna;Korzenna;;325;Korzenna;nowos¹decki;ma³opolskie
55-141;AP Korzeñsko;Korzeñsko;Wroc³awska;13;¯migród;trzebnicki;dolnoœl¹skie
66-600;AP Kosierz;Kosierz;;41;D¹bie;kroœnieñski;lubuskie
23-235;AP Kosin;Kosin;;12;Annopol;kraœnicki;lubelskie
37-100;AP Kosina;Kosina;;327;£añcut;³añcucki;podkarpackie
78-522;AP Kosobudy;Kosobudy;;20;Z³ocieniec;drawski;zachodniopomorskie
22-470;AP Kosobudy;Kosobudy;;69A;Zwierzyniec;zamojski;lubelskie
63-800;AP Kosowo;Kosowo Wielkopolskie;;26a;Gostyñ;gostyñski;wielkopolskie
08-330;UP Kosów Lacki;Kosów Lacki;Wolnoœci;14;Kosów Lacki;soko³owski;mazowieckie
08-322;FUP Kosów Lacki;Ceranów;;140;Ceranów;soko³owski;mazowieckie
84-250;AP Kostkowo;Kostkowo;Osiedlowa;1;Gniewino;wejherowski;pomorskie
21-509;AP Kostom³oty;Kostom³oty;;9;Kodeñ;bialski;lubelskie
46-221;AP Kostów;Kostów;;16;Byczyna;kluczborski;opolskie
58-533;AP Kostrzyca;Kostrzyca;Jeleniogórska;37 C;Mys³akowice;jeleniogórski;dolnoœl¹skie
62-025;AP Kostrzyn;Kostrzyn;Kosynierów;11;Kostrzyn;poznañski;wielkopolskie
66-470;UP Kostrzyn nad Odr¹;Kostrzyn nad Odr¹;Piastowska;5;Kostrzyn nad Odr¹;gorzowski;lubuskie
66-470;AP Kostrzyn nad Odr¹;Kostrzyn nad Odr¹;Gorzowska;58;Kostrzyn nad Odr¹;gorzowski;lubuskie
62-025;UP Kostrzyn Wielkopolski;Kostrzyn;Dworcowa;11;Kostrzyn;poznañski;wielkopolskie
75-202;AP Koszalin;Koszalin;Paproci;67;Koszalin;Koszalin;zachodniopomorskie
75-350;AP Koszalin;Koszalin;Wañkowicza Melchiora;82;Koszalin;Koszalin;zachodniopomorskie
75-814;AP Koszalin;Koszalin;Zakole;8;Koszalin;Koszalin;zachodniopomorskie
75-016;UP Koszalin 1;Koszalin;Andersa W³adys³awa;22;Koszalin;Koszalin;zachodniopomorskie
75-016;FUP Koszalin 1;Biesiekierz;;13;Biesiekierz;koszaliñski;zachodniopomorskie
76-039;FUP Koszalin 1;skrytki/przegródki;;;Biesiekierz;koszaliñski;zachodniopomorskie
76-015;FUP Koszalin 1;Manowo;;57A;Manowo;koszaliñski;zachodniopomorskie
75-016;FUP Koszalin 1;Œwieszyno;;21;Œwieszyno;koszaliñski;zachodniopomorskie
75-900;UP Koszalin 2;Koszalin;Zwyciêstwa;1 A;Koszalin;Koszalin;zachodniopomorskie
75-640;UP Koszalin 3;Koszalin;Zwyciêstwa;297;Koszalin;Koszalin;zachodniopomorskie
75-202;UP Koszalin 4;Koszalin;Armii Krajowej Al.;5;Koszalin;Koszalin;zachodniopomorskie
75-202;FUP Koszalin 4;Bêdzino;;32;Bêdzino;koszaliñski;zachodniopomorskie
76-038;FUP Koszalin 4;Dobrzyca;;49;Bêdzino;koszaliñski;zachodniopomorskie
75-113;FUP Koszalin 4;Koszalin;£u¿ycka;34;Koszalin;Koszalin;zachodniopomorskie
75-847;FUP Koszalin 4;Koszalin;Wenedów;22/8;Koszalin;Koszalin;zachodniopomorskie
75-202;FUP Koszalin 4;Mœcice;Koszaliñska;84;Bêdzino;koszaliñski;zachodniopomorskie
75-606;UP Koszalin 6;Koszalin;Waryñskiego Ludwika;1;Koszalin;Koszalin;zachodniopomorskie
75-350;UP Koszalin 9;Koszalin;W³adys³awa IV;22 A;Koszalin;Koszalin;zachodniopomorskie
75-617;UP Koszalin 10;Koszalin;Zwyciêstwa;186;Koszalin;Koszalin;zachodniopomorskie
75-238;UP Koszalin 11;Koszalin;Kosynierów;49;Koszalin;Koszalin;zachodniopomorskie
75-454;UP Koszalin 12;Koszalin;Lange Oskara;23;Koszalin;Koszalin;zachodniopomorskie
75-455;FUP Koszalin 12;Koszalin;Akademicka;29;Koszalin;Koszalin;zachodniopomorskie
42-286;UP Koszêcin;Koszêcin;Powstañców Œl¹skich;5;Koszêcin;lubliniecki;œl¹skie
32-130;UP Koszyce;Koszyce;Rynek;7;Koszyce;proszowicki;ma³opolskie
64-000;AP Koœcian;Koœcian;M³yñska;12;Koœcian;koœciañski;wielkopolskie
64-000;AP Koœcian;Koœcian;Nad £¹kami Os.;48;Koœcian;koœciañski;wielkopolskie
64-000;UP Koœcian 1;Koœcian;Koœciuszki Tadeusza Al.;11;Koœcian;koœciañski;wielkopolskie
64-000;FUP Koœcian 1;Koœcian;Piaskowa;18;Koœcian;koœciañski;wielkopolskie
64-009;FUP Koœcian 1;skrytki/przegródki;;;Koœcian;koœciañski;wielkopolskie
64-000;FUP Koœcian 1;Koœcian;Szkolna;15;Koœcian;koœciañski;wielkopolskie
64-000;FUP Koœcian 1;Koœcian;Œmigielska;21a;Koœcian;koœciañski;wielkopolskie
42-242;AP Koœcielec;Koœcielec;Mykanowska;2;Rêdziny;czêstochowski;œl¹skie
88-170;AP Koœcielec;Koœcielec;;18;Pakoœæ;inowroc³awski;kujawsko-pomorskie
62-831;AP Koœcielec k. Kalisza;Koœcielec;;18A;Mycielin;kaliski;wielkopolskie
82-202;AP Koœcieleczki;Koœcieleczki;;39A;Malbork;malborski;pomorskie
46-331;AP Koœcieliska;Koœcieliska;;42;Rad³ów;oleski;opolskie
34-511;UP Koœcielisko;Koœcielisko;Nêdzy Kubiñca Stanis³awa;76 A;Koœcielisko;tatrzañski;ma³opolskie
62-800;AP Koœcielna Wieœ;Koœcielna Wieœ;Œwiêtego Wawrzyñca;2;Go³uchów;pleszewski;wielkopolskie
49-313;AP Koœcierzyce;Koœcierzyce;;46;Lubsza;brzeski;opolskie
83-402;AP Koœcierzyna;Koœcierzyna (Markubowo);Ma³achowskiego Stanis³awa;12/1;Koœcierzyna;koœcierski;pomorskie
83-400;UP Koœcierzyna 1;Koœcierzyna;3 Maja;3;Koœcierzyna;koœcierski;pomorskie
83-401;UP Koœcierzyna 3;Koœcierzyna;Staszica Stanis³awa;6;Koœcierzyna;koœcierski;pomorskie
12-122;AP Kot;Kot;;19 A;Jedwabno;szczycieñski;warmiñsko-mazurskie
63-220;UP Kotlin;Kotlin;Dworcowa;7;Kotlin;jarociñski;wielkopolskie
63-460;AP Kotowiecko;Kotowiecko;Kaliska;19;Nowe Skalmierzyce;ostrowski;wielkopolskie
44-181;AP Kotulin;Kotulin;Gliwicka;10;Toszek;gliwicki;œl¹skie
08-130;UP Kotuñ;Kotuñ;Siedlecka;72;Kotuñ;siedlecki;mazowieckie
87-820;UP Kowal;Kowal;Ko³³¹taja Hugo (Ksiêdza Hugo Ko³³¹taja);5;Kowal;w³oc³awski;kujawsko-pomorskie
87-821;FUP Kowal;Baruchowo;;15A;Baruchowo;w³oc³awski;kujawsko-pomorskie
26-624;UP Kowala-Stêpocina;Kowala-Stêpocina;;105 A;Kowala;radomski;mazowieckie
19-420;UP Kowale Oleckie;Kowale Oleckie;Koœciuszki Tadeusza;34;Kowale Oleckie;olecki;warmiñsko-mazurskie
62-707;AP Kowale Pañskie;Kowale Pañskie;;57a;Kawêczyn;turecki;wielkopolskie
63-300;AP Kowalew k. Pleszewa;Kowalew;Chrobrego Boles³awa;32;Pleszew;pleszewski;wielkopolskie
87-410;UP Kowalewo 1;Kowalewo Pomorskie;Szkolna;9;Kowalewo Pomorskie;golubsko-dobrzyñski;kujawsko-pomorskie
26-712;AP Kowalków;Kowalków;;5;Kazanów;zwoleñski;mazowieckie
69-110;AP Kowalów;Kowalów;Rzepiñska;5;Rzepin;s³ubicki;lubuskie
64-601;AP Kowanówko;Kowanówko;Tarninowa;23;Oborniki;obornicki;wielkopolskie
58-530;UP Kowary;Kowary;Pocztowa;11;Kowary;jeleniogórski;dolnoœl¹skie
58-533;FUP Kowary;Mys³akowice;Jeleniogórska;35;Mys³akowice;jeleniogórski;dolnoœl¹skie
58-530;AP Kowary;Kowary;Jagielloñska;4;Kowary;jeleniogórski;dolnoœl¹skie
58-530;AP Kowary;Kowary;Matejki Jana;1a;Kowary;jeleniogórski;dolnoœl¹skie
18-421;AP Kownaty;Kownaty;;62;Pi¹tnica;³om¿yñski;podlaskie
09-138;AP Koziebrody;Koziebrody;;98;Raci¹¿;p³oñski;mazowieckie
42-350;UP Kozieg³owy;Kozieg³owy;Moniuszki Pl.;20;Kozieg³owy;myszkowski;œl¹skie
62-027;AP Kozieg³owy;Kozieg³owy;Leœne Os.;18;Czerwonak;poznañski;wielkopolskie
62-029;AP Kozieg³owy;Kozieg³owy;Marsz. Józefa Pi³sudskiego;19;Czerwonak;poznañski;wielkopolskie
26-900;AP Kozienice;Kozienice;Hamernicka;10E;Kozienice;kozienicki;mazowieckie
26-900;AP Kozienice;Kozienice;Warszawska;55 a;Kozienice;kozienicki;mazowieckie
26-900;UP Kozienice 1;Kozienice;Radomska;23;Kozienice;kozienicki;mazowieckie
26-903;FUP Kozienice 1;G³owaczów;Rynek;16;G³owaczów;kozienicki;mazowieckie
26-901;FUP Kozienice 1;Kozienice;Kopernika Miko³aja;8;Kozienice;kozienicki;mazowieckie
16-002;AP Koziñce;Koziñce;;11 A;Dobrzyniewo Du¿e;bia³ostocki;podlaskie
46-310;AP Koz³owice;Koz³owice;Gorzowska;9;Gorzów Œl¹ski;oleski;opolskie
13-124;UP Koz³owo;Koz³owo;;71 A;Koz³owo;nidzicki;warmiñsko-mazurskie
28-366;AP Koz³ów k. Jêdrzejowa;Koz³ów;;45A;Ma³ogoszcz;jêdrzejowski;œwiêtokrzyskie
43-340;UP Kozy;Kozy;Krakowska;9;Kozy;bielski;œl¹skie
88-230;AP Kozy;Kozy;;12;Piotrków Kujawski;radziejowski;kujawsko-pomorskie
32-020;AP KoŸmice Wielkie;KoŸmice Wielkie;;448;Wieliczka;wielicki;ma³opolskie
62-721;AP KoŸmin;KoŸmin;;55;Brudzew;turecki;wielkopolskie
63-720;UP KoŸmin Wielkopolski;KoŸmin Wielkopolski;Klasztorna;16;KoŸmin Wielkopolski;krotoszyñski;wielkopolskie
62-840;UP KoŸminek;KoŸminek;Koœciuszki Tadeusza;7;KoŸminek;kaliski;wielkopolskie
67-120;UP Ko¿uchów;Ko¿uchów;Wolnoœci;1;Ko¿uchów;nowosolski;lubuskie
47-300;AP Kórnica;Kórnica;Szkolna;1;Krapkowice;krapkowicki;opolskie
62-035;UP Kórnik;Kórnik;Wojska Polskiego;9;Kórnik;poznañski;wielkopolskie
62-036;AP Kórnik;Kórnik;Rynek Rynek;1;Kórnik;poznañski;wielkopolskie
62-035;AP Kórnik;Kórnik;Staszica Stanis³awa;8a;Kórnik;poznañski;wielkopolskie
24-320;AP Kraczewice Rz¹dowe;Kraczewice Rz¹dowe;;14;Poniatowa;opolski;lubelskie
37-100;AP Kraczkowa;Kraczkowa;;774;£añcut;³añcucki;podkarpackie
77-430;UP Krajenka;Krajenka;Z³otowska;12;Krajenka;z³otowski;wielkopolskie
30-149;AP Kraków;Kraków (Kraków-Krowodrza);Balicka;18;Kraków;Kraków;ma³opolskie
31-200;AP Kraków;Kraków (Kraków-Krowodrza);Imbramowska;30/1;Kraków;Kraków;ma³opolskie
30-105;AP Kraków;Kraków (Kraków-Krowodrza);Koœciuszki Tadeusza;48;Kraków;Kraków;ma³opolskie
30-075;AP Kraków;Kraków (Kraków-Krowodrza);Rac³awicka;21;Kraków;Kraków;ma³opolskie
31-302;AP Kraków;Kraków (Kraków-Krowodrza);Wybickiego Józefa;17/5;Kraków;Kraków;ma³opolskie
31-973;AP Kraków;Kraków (Kraków-Nowa Huta);Górali Os.;8;Kraków;Kraków;ma³opolskie
31-580;AP Kraków;Kraków (Kraków-Nowa Huta);Nowohucka;52;Kraków;Kraków;ma³opolskie
31-635;AP Kraków;Kraków (Kraków-Nowa Huta);Oœwiecenia Os.;10;Kraków;Kraków;ma³opolskie
30-800;AP Kraków;Kraków (Kraków-Podgórze);Agatowa;1;Kraków;Kraków;ma³opolskie
30-813;AP Kraków;Kraków (Kraków-Podgórze);Bie¿anowska;47/1;Kraków;Kraków;ma³opolskie
30-532;AP Kraków;Kraków (Kraków-Podgórze);D¹browskiego Henryka (Genera³a Henryka D¹browskiego);23;Kraków;Kraków;ma³opolskie
30-104;AP Kraków;Kraków (Kraków-Podgórze);Dêbnicki Rynek;10/1;Kraków;Kraków;ma³opolskie
30-732;AP Kraków;Kraków (Kraków-Podgórze);Gliniana;15;Kraków;Kraków;ma³opolskie
30-836;AP Kraków;Kraków (Kraków-Podgórze);Jerzmanowskiego Erazma;44;Kraków;Kraków;ma³opolskie
30-309;AP Kraków;Kraków (Kraków-Podgórze);Kapelanka;56;Kraków;Kraków;ma³opolskie
30-363;AP Kraków;Kraków (Kraków-Podgórze);Kobierzyñska;42;Kraków;Kraków;ma³opolskie
30-300;AP Kraków;Kraków (Kraków-Podgórze);Komandosów;21;Kraków;Kraków;ma³opolskie
30-509;AP Kraków;Kraków (Kraków-Podgórze);Legionów Pi³sudskiego Józefa;7;Kraków;Kraków;ma³opolskie
30-799;AP Kraków;Kraków (Kraków-Podgórze);£utnia;19;Kraków;Kraków;ma³opolskie
30-505;AP Kraków;Kraków (Kraków-Podgórze);Mitery Stanis³awa;11/2;Kraków;Kraków;ma³opolskie
30-420;AP Kraków;Kraków (Kraków-Podgórze);Narvik;36;Kraków;Kraków;ma³opolskie
30-422;AP Kraków;Kraków (Kraków-Podgórze);Orzechowa;5;Kraków;Kraków;ma³opolskie
30-633;AP Kraków;Kraków (Kraków-Podgórze);S³awka Walerego;41;Kraków;Kraków;ma³opolskie
30-809;AP Kraków;Kraków (Kraków-Podgórze);Œciegiennego Piotra (Ksiêdza Piotra Œciegiennego);69;Kraków;Kraków;ma³opolskie
30-384;AP Kraków;Kraków (Kraków-Podgórze);Torfowa;1;Kraków;Kraków;ma³opolskie
30-833;AP Kraków;Kraków (Kraków-Podgórze);Wenedy Lilii;1;Kraków;Kraków;ma³opolskie
30-681;AP Kraków;Kraków (Kraków-Podgórze);Wielicka;259;Kraków;Kraków;ma³opolskie
30-681;AP Kraków;Kraków (Kraków-Podgórze);W³oska; ;Kraków;Kraków;ma³opolskie
30-611;AP Kraków;Kraków (Kraków-Podgórze);Wys³ouchów Marii i Boles³awa;27;Kraków;Kraków;ma³opolskie
30-418;AP Kraków;Kraków (Kraków-Podgórze);Zakopiañska;62;Kraków;Kraków;ma³opolskie
31-520;AP Kraków;Kraków (Kraków-Œródmieœcie);Bajana Jerzego;8;Kraków;Kraków;ma³opolskie
31-143;AP Kraków;Kraków (Kraków-Œródmieœcie);Basztowa;10;Kraków;Kraków;ma³opolskie
31-050;AP Kraków;Kraków (Kraków-Œródmieœcie);Dietla Józefa;69;Kraków;Kraków;ma³opolskie
31-424;AP Kraków;Kraków (Kraków-Œródmieœcie);Fertnera Antoniego;1;Kraków;Kraków;ma³opolskie
31-850;AP Kraków;Kraków (Kraków-Œródmieœcie);Pokoju Al.;67;Kraków;Kraków;ma³opolskie
31-417;AP Kraków;Kraków (Kraków-Œródmieœcie);S³oneckiego Mariana;9;Kraków;Kraków;ma³opolskie
31-422;AP Kraków;Kraków (Kraków-Œródmieœcie);Strzelców;23;Kraków;Kraków;ma³opolskie
31-161;AP Kraków;Kraków (Kraków-Œródmieœcie);Szlak;1A;Kraków;Kraków;ma³opolskie
31-071;AP Kraków;Kraków (Kraków-Œródmieœcie);Œwiêtej Agnieszki;10;Kraków;Kraków;ma³opolskie
31-456;AP Kraków;Kraków (Kraków-Œródmieœcie);Ugorek;14;Kraków;Kraków;ma³opolskie
31-045;UP Kraków 1;Kraków (Kraków-Œródmieœcie);Westerplatte;20;Kraków;Kraków;ma³opolskie
30-960;UP Kraków 1;skrytki/przegródki;;;Kraków;Kraków;ma³opolskie
31-045;FUP Kraków 1;Kraków (Kraków-Œródmieœcie);Daszyñskiego Ignacego Al.;16;Kraków;Kraków;ma³opolskie
31-132;UP Kraków 3;Kraków (Kraków-Œródmieœcie);Garbarska;12;Kraków;Kraków;ma³opolskie
30-902;UP Kraków 4;Kraków (Kraków-Podgórze);Prokocimska;6;Kraków;Kraków;ma³opolskie
30-902;FUP Kraków 4;Kraków (Kraków-Podgórze);Bie¿anowska;309;Kraków;Kraków;ma³opolskie
30-860;FUP Kraków 4;skrytki/przegródki;;;Kraków;Kraków;ma³opolskie
30-902;FUP Kraków 4;Kraków (Kraków-Podgórze);Wielicka;72;Kraków;Kraków;ma³opolskie
31-151;UP Kraków 5;Kraków (Kraków-Œródmieœcie);Kleparski Rynek;15;Kraków;Kraków;ma³opolskie
30-961;UP Kraków 5;skrytki/przegródki;;;Kraków;Kraków;ma³opolskie
31-000;UP Kraków 6;Kraków (Kraków-Œródmieœcie);Wszystkich Œwiêtych Pl.;9;Kraków;Kraków;ma³opolskie
31-210;UP Kraków 10;Kraków (Kraków-Krowodrza);Mackiewicza Józefa;17;Kraków;Kraków;ma³opolskie
30-309;UP Kraków 11;Kraków (Kraków-Podgórze);Kobierzyñska;93;Kraków;Kraków;ma³opolskie
